id,category,question,Priority,emergency
1,basic_needs,Do you need water?,Low,No
2,basic_needs,Are you feeling hungry?,Low,No
3,basic_needs,Do you need to use the bathroom?,Low,No
4,basic_needs,Do you want to rest now?,Low,No
5,basic_needs,Do you need a blanket?,Low,No
6,basic_needs,Do you want the lights turned off?,Low,No
7,basic_needs,Do you want the lights turned on?,Low,No
8,basic_needs,Do you want to sit up?,Low,No
9,basic_needs,Do you need to lie down?,Low,No
10,basic_needs,Do you want the window open?,Low,No
11,medical_help,Are you feeling pain?,Medium,No
12,medical_help,Is your chest hurting?,High,Yes
13,medical_help,Do you feel dizzy?,Medium,No
14,medical_help,Do you have trouble breathing?,Low,Yes
15,medical_help,Are you feeling weak?,Low,No
16,medical_help,Do you need your medicine?,Low,No
17,medical_help,Do you want to see a doctor?,Low,No
18,medical_help,Do you feel nauseous?,Low,No
19,medical_help,Is your vision blurry?,Low,No
20,medical_help,Do you have a headache?,Medium,No
21,social_emotional,Do you want to talk to your family?,Low,No
22,social_emotional,Do you want to listen to music?,Low,No
23,social_emotional,Do you want to watch TV?,Low,No
24,social_emotional,Are you feeling anxious?,Low,No
25,social_emotional,Do you feel lonely?,Low,No
26,social_emotional,Do you want someone to sit with you?,Low,No
27,social_emotional,Do you want to go outside?,Low,No
30,social_emotional,Do you need a phone call?,Low,No
31,miscellaneous,Do you want the fan turned on?,Low,No
32,miscellaneous,Do you want the fan turned off?,Low,No
33,miscellaneous,Do you want the AC turned on?,Low,No
34,miscellaneous,Do you want the AC turned off?,Low,No
35,miscellaneous,Do you need the room to be quieter?,Low,No
36,miscellaneous,Do you want more light in the room?,Low,No
37,miscellaneous,Do you want less light in the room?,Low,No
38,miscellaneous,Do you want the door closed?,Low,No
39,miscellaneous,Do you want the door open?,Low,No
40,miscellaneous,Do you need a pillow adjustment?,Low,No
